"","Gene","CcSP_neg.lfc","CcDN_neg.lfc","CcDP_neg.lfc","BeadSP_neg.lfc","BeadDN_neg.lfc","BeadDP_neg.lfc"
"270","B3GNT4",-0.49519,-3.2873,-0.48572,0.092607,0.082107,0.28546
"271","NE_64",-3.2121,-2.1619,-3.5297,0.38786,-0.73869,1.007
"272","TLR9",-1.0242,-2.1655,-1.2926,0.20845,-0.18866,0.53787
"273","PKN1",-1.5517,-0.79757,-0.6498,0.56651,0.085462,0.36511
"274","CDC25B",-0.87774,-0.83116,0.48847,0.11176,0.42466,-0.53389
"275","IL1RL1",-1.4136,-2.8876,-0.44974,0.092794,0.38068,0.57976
"276","CUBN",-0.8541,0.25468,0.25143,-0.5565,-0.10368,-0.11638
"277","IL17RE",-0.0072357,-0.73907,-0.93513,-0.059041,-0.34522,-0.12188
"278","RAB11FIP4",-1.6422,-1.7924,-4.1913,-0.3616,-0.7101,-0.42322
"279","CDH5",-0.30268,-0.048412,-1.5218,0.0090472,0.20648,-0.0038521
"280","PTRH2",-1.2783,-0.56792,-0.4157,-0.24135,0.016243,-0.047333
"281","TOR1A",-1.0881,-1.5316,-0.009251,0.2828,-0.22727,-0.26594
"282","CCL17",-0.41775,-1.5186,-1.9616,-0.19654,-0.4386,-0.66647
"283","SPA17",-1.1106,-0.081282,-1.0603,0.54883,0.6004,-0.020343
"284","SLC19A1",-1.1021,-1.2669,-2.1109,-0.10131,0.070873,-0.39713
"285","CX3CR1",-1.2654,-1.7677,3.6627,0.10368,-0.29278,-0.24514
"286","WIPF1",-1.3602,-0.37624,-2.1006,0.50231,0.2034,-0.26821
"287","LMAN2L",-1.1714,-0.63824,-0.17616,-0.053021,0.079281,-0.21266
"288","NDUFA9",-1.2434,-1.9397,-2.3816,0.30221,-0.32961,-0.20976
"289","CCNH",-1.1762,-2.7097,-2.3177,-0.40835,0.41216,0.098861
"290","SUMF1",0.041235,1.1358,1.4034,0.20826,-0.12489,0.24114
"291","LRFN1",-1.3607,-1.9965,1.7573,0.16508,-0.14133,0.015391
"292","LRPAP1",-0.14751,0.94041,-1.4071,-0.5797,-0.47506,-0.36809
"293","TMX3",-1.1328,-1.9152,-1.5047,0.0027972,0.26816,0.20563
"294","NT_62",-2.9867,-1.9655,-7.0547,0.29928,0.094566,0.13661
"295","SLC3A2",-1.0004,-1.8565,-3.0772,-0.76276,-0.51182,-0.079342
"296","SELM",-0.64056,-0.40464,-2.6727,0.129,0.044238,0.30263
"297","SPON1",-1.3413,0.061627,-5.1138,-0.078682,-0.095596,0.35984
"298","C20orf160",-1.3345,-1.0338,-4.1111,-0.29754,-0.015298,0.27717
"299","PLEKHG3",-0.19788,-0.015797,-2.589,0.043098,0.33867,0.35881
"300","PTK7",-1.0007,-2.3113,0.96367,-0.20034,-0.58845,-0.032983
"301","FGF8",-0.69567,-0.098946,-2.7872,-0.19967,0.16798,-0.45112
"302","CYSLTR1",-0.79662,-1.7183,0.2262,0.42363,0.30843,0.44526
"303","PLBD2",-1.0038,-0.40516,0.26001,-0.2312,0.45415,0.22745
"304","PRF1",-0.10333,-0.17482,1.6155,-0.27691,0.023569,0.15646
"305","SOS1",-1.2576,-1.2925,-1.8833,-0.4416,-0.461,-0.17257
"306","TNFRSF1A",-0.18465,-0.25631,-1.7019,-0.92883,-0.13523,-0.42968
"307","CDCP1",-0.69548,-2.5182,-0.88683,-0.016979,0.15282,-0.056474
"308","DCBLD1",-0.98341,0.70056,1.311,-0.013584,-0.21335,0.59576
"309","ANTXR2",-1.0104,-0.104,0.82151,-0.13053,0.17903,-0.15487
"310","DCK",-0.69477,-0.64585,-4.1279,0.3462,0.16393,0.6901
"311","CXCR2",-1.3308,-0.91035,-2.254,0.012845,-0.063371,-0.26904
"312","HERC6",-0.24877,-1.385,0.077229,0.40753,0.092809,0.061781
"313","SEL1L3",-0.87842,0.14069,-0.1693,0.31141,0.095246,0.16146
"314","BAG1",-1.5503,-1.4104,0.23266,-0.6798,-0.44565,-1.5312
"315","TSPAN14",-0.9639,0.10171,-0.069145,-0.26722,-0.24133,-0.53008
"316","SLC6A3",-0.3489,-0.64717,-0.14892,-0.12697,-0.12115,-0.16463
"317","SKIL",-1.4849,-0.49629,-4.1722,0.33231,0.35139,0.4145
"318","ITGA2",-0.32314,1.4347,-1.5234,0.17093,-0.30152,0.4879
"319","CD70",0.17919,-0.21449,0.037043,-0.34635,-0.14997,-0.27492
"320","NFAM1",-1.0662,-0.51794,-1.4629,-0.38795,-0.13264,-0.38236
"321","CCDC69",1.1481,1.6667,2.5921,-0.80017,0.14058,0.13603
"322","TRAF1",-0.5071,0.50601,-1.5423,0.013723,0.035109,-0.13042
"323","IL7R",-0.39962,1.1505,-1.5099,-0.23459,-0.15829,-0.3441
"324","KCNN2",1.8838,1.635,2.152,-0.32071,-0.16641,0.040386
"325","HLA-B",-0.64162,-1.2666,0.68933,0.10346,0.3454,0.57786
"326","RSPO2",-1.0411,-0.57812,-0.029314,-0.21286,0.61085,0.37522
"327","NT_78",-2.7123,-0.24429,-2.5218,0.4908,0.62281,0.11482
"328","NSMCE1",-0.9774,-1.178,2.3745,-0.28369,-0.20555,0.24373
"329","TSPAN3",2.1023,0.36785,0.80131,0.16537,-0.12972,0.016185
"330","NT_60",-2.8088,-0.39992,0.65062,0.18296,0.16181,0.943
"331","PRKCQ",-1.2651,0.053167,0.010153,0.38812,0.25508,0.52753
"332","CLU",-1.0068,0.2782,-0.7822,0.43691,0.4733,0.14441
"333","HLF",0.53958,-0.57165,-0.68433,-0.71353,-0.44056,-0.2523
"334","NFKBIA",-0.79754,0.7935,1.1311,-0.33137,0.35538,-0.57147
"335","CNPY3",-1.1904,-0.084583,-0.46145,0.25777,0.20519,0.29662
"336","ETV6",-0.71002,0.6726,-1.745,0.40827,0.065932,0.64414
"337","ARL4C",-1.2217,-1.689,-1.3883,0.044298,0.22614,0.26474
"338","FOXP3",-1.2291,-0.10495,-0.85822,0.2497,0.05143,0.29349
"339","PIGS",-0.86775,-4.3669,-2.3364,0.13613,0.17458,0.65427
"340","LAMP2",0.84309,1.072,1.3288,-0.39122,-0.0063245,-0.71581
"341","CRHBP",-1.0459,-0.4593,-2.275,-0.15718,-0.22624,-0.29375
"342","SPIRE2",-1.3179,-3.3179,-1.2625,-0.021668,-0.33065,-0.39851
"343","TRAT1",-0.77867,-2.1385,-0.74514,-0.19226,0.17844,0.18584
"344","ADGRF5",-1.0419,-0.29525,-0.32223,0.29757,-0.16231,-0.40017
"345","EIF3E",-0.63628,1.2536,0.44927,-0.019147,-0.044838,-0.28331
"346","VDAC1P1",-1.1539,0.33842,0.25075,0.52709,0.52581,0.7716
"347","BACH2",-1.1473,-0.5467,-0.46645,0.11579,0.26455,-0.10972
"348","PSMC5",-0.80966,-0.68664,-1.4131,-0.18037,-0.22489,-0.68011
"349","PSMD6",-0.69446,-0.87571,0.11549,-0.48106,-0.24465,-0.89119
"350","CXCR1",-0.11059,0.10003,1.3914,0.89761,1.1407,0.85379
"351","PNMA3",-1.1139,-2.134,-4.1387,0.033033,0.1984,0.17266
"352","ATP6AP1",0.47446,0.84801,-1.3482,-0.85599,-1.0148,-0.16067
"353","NT_38",-2.5591,0.43445,-5.1988,-0.228,0.53219,0.5847
"354","DCSTAMP",-1.1935,0.038352,-1.2551,0.049677,0.0087713,-0.16214
"355","TMED4",-1.1889,0.16295,2.3272,-0.56944,-0.28613,-0.58056
"356","TMEM30A",-0.82692,-1.3685,-0.84444,-0.0053268,-0.078882,0.3694
"357","NE_30",-2.629,2.1042,-1.2062,-0.45147,-0.50372,-0.041846
"358","MASP1",-0.28903,-0.26446,-1.0588,0.06534,0.063964,0.24015
"359","PSMD3",-0.75263,-2.1875,1.2002,-0.62265,-0.52066,-1.6231
"360","LILRB2",-0.82447,-0.95257,-4.1852,-0.27598,-0.2416,0.050208
"361","THBD",-0.25267,0.68989,-1.2451,0.070706,-0.74734,-0.081151
"362","RORC",-1.008,0.044529,2.3665,-0.48897,-0.26986,-0.11895
"363","PVR",-0.65178,-0.99012,-1.3398,0.18817,0.36306,1.1543
"364","STOML2",-0.90059,-0.65777,-0.0029365,-0.7408,-0.43454,-0.10157
"365","CD58",-1.1407,-2.9807,-3.1049,-0.051246,0.46742,0.51903
"366","LST1",-0.97138,-1.1405,-1.0513,-0.35744,0.21262,0.014116
"367","CXCR5",-1.2171,0.93497,-0.95321,0.031172,-0.30944,0.34927
"368","CHST12",-1.2883,0.70567,-1.2744,0.078259,0.29797,-0.015249
"369","NE_33",-2.6141,-3.0698,-6.5806,0.37136,-0.14421,1.6536
"370","WRN",-0.8615,-0.44273,-1.3481,-0.022322,-0.021675,-0.014305
"371","SLC39A14",-0.55276,-2.1707,-0.44935,-0.69347,-0.29425,-0.5987
"372","ROS1",-0.82457,-0.21433,-1.4284,0.023003,0.022114,0.30781
"373","GRAP2",-0.8638,-1.7988,-2.072,-0.012359,-0.22994,0.57106
"374","NE_59",-2.5587,-1.9246,-0.93845,1.1818,-0.53983,1.1654
"375","NMUR1",-0.72156,-0.82637,-0.17038,-0.2358,0.37605,0.63204
"376","SATB1",1.0393,-1.2251,0.50309,-0.069074,-0.43475,0.11794
"377","ITGA4",0.33873,0.41222,1.2661,-0.041139,0.10031,0.019892
"378","PDGFB",-0.72495,0.46557,0.067801,0.41641,0.38113,-0.57974
"379","KRT1",-0.049434,-0.16704,0.70003,0.27642,0.19472,0.61057
"380","GFRA4",0.03274,-1.5756,-2.9233,-0.5545,-0.29015,-0.86899
"381","TOP2A",-0.50347,0.059377,-2.1933,-0.090656,-0.28903,-0.34815
"382","GOLGA6A",-0.80303,-0.96611,2.2303,-1.2653,-0.60011,-1.2898
"383","FGF10",-0.19615,-1.0294,-4.2893,-0.014358,-0.11331,0.037885
"384","CAV3",-0.62929,0.11439,-0.63997,0.16065,0.053518,-0.0083704
"385","OCLN",-1.0862,-0.4494,1.6262,0.67946,0.65225,0.16968
"386","FLT3LG",-0.81259,-0.65849,-1.6994,-0.74298,-0.52107,-0.89451
"387","SLITRK6",-0.97919,0.34494,-0.72813,0.39505,-0.013255,-0.66509
"388","TMEM243",-0.22071,-1.4743,-1.4446,0.44468,-0.092174,0.32837
"389","ERAP2",-0.75682,-0.92187,-0.49691,0.14327,0.10165,-0.72365
"390","NBPF1",0.70909,1.0795,1.4012,-0.24124,-0.73368,-0.063462
"391","JAK3",-0.16712,-0.5879,1.5349,0.15485,-0.18595,-0.59537
"392","CCR3",-1.2196,-2.4272,-5.7001,-0.30347,0.67261,-0.34541
"393","NE_67",-2.2133,0.32155,-3.0245,-1.2691,-1.1191,-0.14632
"394","C6orf48",-0.49074,-0.46122,-3.9816,0.030069,-0.032566,-0.1016
"395","SOD2",-1.242,-0.886,-4.2878,-1.0681,-0.90242,-1.3486
"396","CBFB",-0.80828,0.50374,0.54594,-0.55587,-0.083961,-0.22253
"397","CD59",0.011216,-1.8989,-1.1996,-0.3771,-0.098891,-0.10788
"398","SOCS3",-0.33366,0.0074368,-1.5537,-0.38188,0.1213,-0.24532
"399","BCL10",-0.95593,-0.608,2.0367,-0.18342,0.0088245,-0.30841
"400","PSMB8",-1.1505,0.27508,-1.2025,-0.22305,-0.12035,-0.094321
"401","NCF2",-0.89721,-0.97338,1.4698,0.47913,0.072263,0.20947
"402","GZMA",-0.1369,-0.80405,-2.5744,-0.40581,-0.026946,-0.44161
"403","SLC2A1",-0.16911,-3.0803,2.0135,-0.8815,-0.96014,-0.80751
"404","PLP2",-1.0869,-1.7024,-4.1152,-0.061681,-0.18506,0.37614
"405","TNFAIP3",-0.69895,-0.6113,-2.9586,0.5298,0.15123,0.59437
"406","RHOA",-1.0718,-0.56997,-1.0736,-0.59481,-0.39081,-0.31946
"407","CCR1",-0.33946,-0.049116,1.9634,0.37644,1.0201,0.33817
"408","KCNQ3",-0.20449,-1.1802,-1.4704,0.047564,0.039964,0.57142
"409","TOR1B",-0.87082,-0.79232,-2.2305,-0.11609,0.10783,-0.65618
"410","BACE2",-0.049769,0.51393,-0.33846,-0.30086,-0.30604,-0.48752
"411","CAPN5",-0.67214,-0.21294,1.809,-0.01623,0.14448,-0.25352
"412","LAMP1",-0.10787,-0.057746,2.5052,0.0014812,0.091903,0.10404
"413","GOLM2",-1.2567,-1.0283,-2.4187,-0.072545,-0.14825,0.20458
"414","CD37",-0.58221,-0.92487,-0.18774,-0.17593,0.27988,0.083767
"415","ASAH1",0.69183,0.89917,-0.50882,0.054743,-0.253,-0.10708
"416","NRP1",0.33625,0.18431,-0.42503,0.10376,-0.062321,0.37388
"417","RELB",-1.0672,0.30798,1.0649,-0.20636,0.0718,-0.67143
"418","GHRHR",1.7397,1.5617,2.4222,0.5184,0.0015705,0.89529
"419","SPPL3",0.17151,0.27452,-1.7139,-0.054844,-0.039261,0.48512
"420","RAG2",-0.89022,-1.7129,-0.68467,0.52266,0.072706,1.0013
"421","ITGAV",-0.77015,-0.65464,-2.554,0.42731,0.26677,0.40573
"422","CHRNB2",-0.71537,0.17783,1.5361,-0.36039,0.64836,-0.57184
"423","DNMT3B",-0.72846,0.25449,1.1181,0.32356,0.36707,0.2789
"424","MAF",-0.92711,-0.75539,-2.8347,-0.38109,-0.41405,-0.71202
"425","OSTM1",0.52816,-0.64551,-1.0938,-0.77336,-0.11359,-0.28975
"426","PIK3R2",-0.6668,-1.3721,-0.36676,-0.30201,0.0099529,0.15215
"427","XPA",0.3249,0.43311,0.38051,0.34005,0.18555,0.31079
"428","DSCAML1",-0.77448,-0.43002,-2.1739,-0.35692,-0.47166,0.42514
"429","CD7",-0.37718,-0.79246,-0.91052,0.30833,0.34604,0.038542
"430","KIF17",1.1949,0.81215,0.28904,0.20181,-0.14102,0.33314
"431","PHF19",-0.41655,-0.0011558,0.66215,0.12064,0.21578,0.12907
"432","LEMD2",-0.48777,-0.92023,-1.311,-0.21871,-0.40122,-0.80223
"433","ANPEP",-0.97626,-1.7982,-0.68711,0.046445,0.20328,-0.35234
"434","RBM23",-0.46912,-0.30543,2.5204,-0.2418,0.073591,0.22852
"435","NOTCH3",-0.84914,0.7193,0.59701,0.34393,0.22169,0.23657
"436","VTN",0.91329,-0.82271,-3.8164,-0.17909,-0.47608,-1.0668
"437","BCL7A",0.32276,0.30129,1.4622,0.36023,-0.56293,0.83776
"438","RNF149",-0.81289,0.68744,-1.2259,0.0013657,0.24867,-0.23383
"439","TNFRSF13C",-0.48757,-0.40105,1.4384,0.19856,-0.58386,-0.77319
"440","APLP2",-0.85291,-0.7847,1.4688,-0.45998,-0.87063,-0.51527
"441","MPPE1",-0.78663,0.22015,0.78492,0.81845,0.61039,0.6819
"442","GPRC5B",-0.091123,0.88281,0.90525,-0.12307,0.096782,-0.28336
"443","UBE2N",-0.93846,-1.8368,0.84435,0.023057,-0.47854,0.36758
"444","RERE",-0.89031,-1.5171,-4.2996,-0.87742,-0.24234,-0.92985
"445","LRP10",-0.7874,-0.54503,-5.5244,-0.73397,-0.65781,-0.40483
"446","C1orf31",-0.49857,0.11155,0.29811,0.072806,0.0045272,0.20132
"447","XRCC3",-0.18372,0.74357,-0.36655,0.052758,-0.15619,-0.18376
"448","SKAP1",0.32048,-0.10801,1.3328,-0.70886,-0.51289,-0.95049
"449","ATP1B2",-0.59355,-0.30417,0.026424,-0.10847,-0.33438,-0.09559
"450","FAM174A",-0.60512,-0.2486,-1.0778,0.14316,-0.71471,0.74726
"451","PTGER4",0.15549,0.20977,1.1319,0.17261,-0.38379,0.61965
"452","PTPN11",-0.91461,-1.0884,-1.4584,-0.84683,-1.1128,-0.90494
"453","KIAA1407",-0.75327,-1.4959,-0.3413,-0.6332,0.0357,-0.43358
"454","APOE",-0.64916,-0.79029,-2.1755,0.15252,0.43641,0.1236
"455","IL18R1",-0.78754,-0.16619,2.6035,-0.046534,0.14081,0.33446
"456","GSTA4",-0.83739,-1.5698,0.01403,0.10332,-0.26627,-0.41328
"457","SCNN1G",-0.062141,1.0261,1.996,-0.21237,-0.02783,0.011971
"458","CLEC5A",0.71218,0.26836,1.1405,0.24465,0.6459,0.61763
"459","SLA",0.28169,0.079379,0.61781,0.073631,-0.06229,0.26435
"460","GABPA",0.32031,0.19064,-0.8381,-0.094672,0.39177,-0.16603
"461","ADAMTS13",-0.72368,-1.4178,-5.8059,-0.26109,-0.74003,-0.2356
"462","HPX",0.34016,1.264,0.6622,0.35861,0.32346,-0.95921
"463","NE_66",-1.7084,-2.8007,0.65292,-1.2709,-1.4476,-0.65203
"464","ALCAM",-0.88776,-1.2467,-0.89034,-0.23936,-0.058525,-0.63763
"465","RAD50",-0.61536,0.75098,-0.33884,0.29636,-0.088889,0.19012
"466","COMMD6",0.2114,-0.90974,0.69505,-0.31676,0.025978,-0.25551
"467","UBASH3A",-0.51138,0.57382,0.41536,0.13885,0.16534,0.0097618
"468","NT_68",-1.8685,-4.2114,1.074,0.046372,0.81523,-0.42414
"469","SEPTIN2",-0.56442,-1.088,0.29302,0.23814,0.098163,0.28733
"470","XCL2",-0.86818,-2.0031,-6.8785,0.16387,-0.23205,0.066365
"471","NE_26",-1.6411,-1.4906,1.4033,0.032206,-0.27122,-0.37184
"472","GXYLT1",0.97702,0.69809,2.3598,-0.32638,-0.0032822,-0.16983
"473","EVI2A",-0.52453,-1.3444,0.6106,0.13666,-0.047678,-0.19903
"474","ZNF232",-1.094,-0.35851,-0.99575,-0.23694,-0.29634,-0.73372
"475","RAG1",-0.5849,-0.11291,-0.31326,-0.086838,0.094527,0.24614
"476","NT_69",-1.6423,-1.4074,-7.2322,-0.073266,0.48965,-0.024166
"477","F3",-0.8538,-2.8477,-0.51625,-0.11985,-0.34233,0.0040892
"478","NFATC1",-0.4626,1.0458,-0.35057,0.32218,-0.23186,0.064679
"479","AIRE",0.92716,1.6026,-0.39067,-0.28722,0.26777,0.14371
"480","ACVR1",-0.44375,-0.83504,0.1575,-0.27481,-0.54067,0.12095
"481","SAMD3",0.67916,0.68809,0.65704,0.62907,0.31657,0.4659
"482","ELAPOR1",0.35155,-0.15837,0.017498,0.33614,0.76492,0.48996
"483","NE_31",-1.7076,-0.5181,-3.2385,-0.44583,-0.4326,-0.59362
"484","AQP3",-0.56414,-0.085406,-2.4579,0.4076,-0.14158,-1.3412
"485","PSMB2",-0.9662,-1.503,-1.6438,-0.18151,-0.38471,-0.50153
"486","WNT6",-0.94268,-0.9341,-2.0243,-0.081317,-0.42981,-0.18225
"487","UMODL1",1.2591,0.99391,2.1306,0.15654,-0.18831,0.052759
"488","RER1",-0.55141,0.68152,-1.2819,-0.15632,-0.047915,-0.47335
"489","GRIN2A",-0.62213,-1.158,-1.8274,0.28,0.28102,0.18949
"490","NCR3",-0.66975,0.32523,-0.63645,0.22082,0.25863,-0.61498
"491","CLSTN1",-0.48568,-1.3032,-2.4883,-0.14322,-0.42873,-0.38339
"492","NE_42",-1.7928,-1.4531,-1.3676,0.59756,0.087139,0.73169
"493","MXRA8",-0.85206,-1.1872,2.2151,-0.23423,-0.38162,-0.10449
"494","PHB2",-0.53452,-1.6559,-0.6318,-0.42105,-0.81988,-0.17175
"495","M6PR",0.69426,0.52185,-0.46401,0.10438,-0.70362,-0.20312
"496","CLEC17A",-0.50243,-0.97319,2.9766,-0.080954,-0.26729,-0.16685
"497","DEFB108B",-0.36451,0.014492,1.1326,0.11681,0.034786,-0.08622
"498","ADGRG1",-0.30259,-0.18337,-2.3927,-0.12863,-0.21208,0.15522
"499","MAS1",-0.029267,-0.32568,-0.30756,-0.047515,-0.015057,0.3469
"500","NE_81",-1.652,0.26886,-1.583,-0.026098,0.21108,0.042735
"501","FUT7",0.12276,-2.3318,0.37052,-0.7681,-0.24207,-0.32457
"502","RFT1",-0.85616,-1.4361,-1.5154,0.13767,0.2197,-0.53884
"503","PLD4",-0.8986,-0.52505,-0.40188,-1.3548,-0.72424,-0.26698
"504","UBE2D1",-0.59443,1.0946,-3.8893,-0.36595,0.20492,0.35928
"505","NE_99",-1.6882,-0.08247,0.0092502,-0.4644,-0.23104,-0.28931
"506","PLA2G16",0.33556,0.83154,3.1841,-0.06833,-0.14832,0.63695
"507","IRF7",0.57698,0.4998,0.58486,0.097737,-0.17882,-0.30172
"508","ZNF208",-0.5578,-0.22902,-1.2963,-0.1201,0.13803,-0.42102
"509","FOLR2",-0.20556,-0.72468,1.5081,-0.16421,-0.70316,-0.4795
"510","USP14",-0.80819,0.1811,-1.8886,0.30184,0.52149,0.38814
"511","NT_82",-1.6195,-1.5098,-6.8573,0.72325,0.45013,1.0499
"512","PDIA3",-0.70917,-1.6593,-1.6062,0.019892,0.0063288,-0.45008
"513","NE_82",-1.452,-1.6375,2.1102,-0.24516,-0.54564,-0.32459
"514","DUSP4",-0.64056,-0.97994,-0.29442,0.056012,-0.012802,-0.93922
"515","NE_95",-1.5306,-1.6743,-2.6583,-0.19525,-0.99968,0.94447
"516","SLC12A2",-0.73356,0.44306,1.3226,-0.20053,-0.20077,-0.042013
"517","PNRC1",-0.43565,-0.51649,1.0268,0.078488,0.38577,0.070383
"518","EMCN",-0.57572,0.21595,-0.15809,0.18093,0.5943,0.32851
"519","TBX21",-0.22067,-1.2839,-1.3741,-0.86911,-0.79525,-0.45515
"520","P2RY1",-0.3684,-0.26779,0.64458,-0.29409,0.52732,-0.17748
"521","NT_89",-1.5178,-0.56661,-2.3192,0.39986,0.67678,0.72796
"522","TNFSF4",0.93447,-0.69625,1.3747,0.42068,0.48085,0.38688
"523","LILRB1",-0.5545,-1.1012,-3.9625,0.34827,-0.36031,0.1441
"524","NE_63",-1.4315,-3.4039,-2.807,0.11393,-0.09445,0.5081
"525","NUP210",0.33899,-1.6248,1.2939,-0.47008,-0.46907,-1.0561
"526","CSF2RB",0.37497,0.34944,0.14803,-0.14444,0.029877,-0.084664
"527","GAPDH",0.1221,0.19757,0.86716,-0.11896,-0.4637,-0.26235
"528","SYPL1",-0.46836,-0.68639,-1.6157,0.055455,-0.020944,0.39822
"529","PSMA7",-0.74283,0.40118,0.10828,-0.42357,-0.52906,-0.73557
"530","DUSP2",-0.81838,-1.1984,-2.5219,-0.050749,-0.07279,0.053994
"531","TIMP2",-0.31366,0.1673,2.1996,-0.055591,-0.43129,0.03952
"532","BMP3",-0.74008,0.92882,-0.70201,-0.3034,-0.39694,-0.21279
"533","HSPA5",-0.67903,0.6014,0.50949,-0.8756,-1.3918,-1.0774
"534","RASSF5",0.26587,-0.065893,0.68034,-0.28155,0.12045,0.17287
"535","ENTPD6",0.34811,2.7096,-1.2692,0.041849,0.32454,-0.036299
"536","CD33",-0.371,0.20337,-0.34988,-0.13327,-0.12148,-0.95651
"537","SRF",-0.4816,-0.051968,-1.2799,-1.3084,-0.40609,-1.963
